Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch
1,1b7925cb-85c7-4831-9bd2-353b3804abcf runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2453 start_time=2025-11-19T20:20:14.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=1b7925cb-85c7-4831-9bd2-353b3804abcf basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,38126,0.9892645409389521,89,6329,6241,0.9750258607950347,89,6855,6767
2,32fc39ee-fe80-4031-af36-bf9a908a52ed runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1842 start_time=2025-11-20T09:47:37.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=32fc39ee-fe80-4031-af36-bf9a908a52ed basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,10406,0.9588760427337919,104,6936,6833,0.9890334844275479,98,6936,6839
3,db8fe7c3-6b87-4686-bfb6-ad28f7bc2d10 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2380 start_time=2025-11-20T12:39:08.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=db8fe7c3-6b87-4686-bfb6-ad28f7bc2d10 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,14444,0.9552669552669553,91,6327,6237,0.9860400186133085,85,6531,6447
4,736b2812-6b17-4f93-83ad-97bd2d12b5ac runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2433 start_time=2025-11-20T16:18:06.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=736b2812-6b17-4f93-83ad-97bd2d12b5ac basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,3838,0.9906492118621427,92,3834,3743,0.9922646038943719,86,3834,3749
5,4898c30b-439a-4d28-b00c-def7c2d113ee runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1659 start_time=2025-11-20T18:40:03.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=4898c30b-439a-4d28-b00c-def7c2d113ee basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,12504,0.9655797101449275,87,2846,2760,0.9834765366820886,81,3106,3026
6,cd05d6bd-1ce2-4c25-8b10-56ddfba990ad runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=408 start_time=2025-11-20T05:49:00.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=cd05d6bd-1ce2-4c25-8b10-56ddfba990ad basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,41477,0.875,65,4576,4512,0.9800252312867956,65,4820,4756
7,7220c6e1-6768-4ae0-ac91-2efbe255e1d5 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=823 start_time=2025-11-20T09:59:50.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=7220c6e1-6768-4ae0-ac91-2efbe255e1d5 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,10145,0.8671845154717942,91,7943,7853,0.9842219111846291,85,7943,7859
8,8c2b09e1-3ab2-403f-9c1c-5ddd8f68fc36 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=2483 start_time=2025-11-20T12:47:01.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=8c2b09e1-3ab2-403f-9c1c-5ddd8f68fc36 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,8017,0.964018525115782,90,5703,5614,0.993594306049822,84,5703,5620
9,c73a746a-7958-451f-9c1d-121bc8cce5fb runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=1939 start_time=2025-11-20T16:27:58.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=c73a746a-7958-451f-9c1d-121bc8cce5fb basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,12523,0.9774035570066157,90,11728,11639,0.9993295902120171,84,12016,11933
10,f8ebecc0-6907-464d-af98-33714357fcb8 runid=b0ed894e-112e-4a8e-8826-3551ec5485fa ch=575 start_time=2025-11-20T06:31:43.508756+02:00 flow_cell_id=PBG32418 basecall_gpu=NVIDIA_GeForce_RTX_4090 protocol_group_id=T82_Islets_Riham sample_id=T82_Islets_Riham_DNA barcode=barcode24 barcode_alias=barcode24 parent_read_id=f8ebecc0-6907-464d-af98-33714357fcb8 basecall_model_version_id=dna_r10.4.1_e8.2_400bps_sup@v5.2.0,28089,0.9824641311774084,111,4501,4391,0.9795707800247627,105,4950,4846
